Bucky,Location,Adress,Lat,Long
Ringo 2.0,State Street Brat," 603 State St, Madison",43.07492672,-89.39593367
Game Day Bucky,University Book Store,711 State St,43.07481678,-89.3977582
Animals Need Bucky Too,UW School of Veterinary Medicine,"2015 Linden Dr, Madison, WI 53706",43.07532097,-89.42031587
Baller Bucky,UW Health at The American Center,"4602 Eastpark Blvd, Madison, WI 53718",43.15531364,-89.30176504
Bucky Come Se Picasso,"Neider & Boucher, S.C.","401 Charmany Dr, Madison, WI 53719",43.06059757,-89.4770975
Bucky How'd You Get So FLY?,Kollege klub,"529 N Lake St, Madison",43.07612334,-89.39365576
Bucky in Bearadise,Three Bears Resort,"701 Yogi Cir, Warrens",44.13035217,90.53056777
Bucky Lloyd Wright,Oak Park Place,"719 Jupiter Dr, Madison",43.08783059,-89.28009675
Bucky on Guard,Two Men and a Truck Moving,"3817 Kipp St, Madison, WI 53718",43.04380398,-89.28409261
Bucky on Ice,The Lodge at Walnut Grove,"4200 University Ave, Madison, WI 53705",43.07661855,-89.4534523
Bucky.exe,UW Credit Union,"44 E Mifflin St, Madison, WI 53703",43.07638492,-89.38420493
Dream Big Bucky,UW Health University Hospital,"600 Highland Ave, Madison, WI 53792",43.07718387,-89.42704614
Every Veteran is a Story,William S. Middleton Memorial Veterans Hospital,"2500 Overlook Terrace, Madison, WI 53705",43.07461105,-89.43014812
Friday Night Fish Fry,The Edgewater Hotel,"1001 Wisconsin Pl, Madison, WI 53703",43.07956259,-89.38898513
Gemütlichkeit,Travel Wisconsin Welcome Center,"800 I-90, Beloit, WI 53511",42.50526795,-88.98428894
Graduation Bucky,Bascom Hall,"Bascom Hall, 500 Lincoln Dr, Madison, WI 53706",43.07586759,-89.40361063
Ink'd Wisconsinly,Mid-West Family Madison,"730 Rayovac Dr, Madison, WI 53711",43.04879872,-89.49154869
Jump Around Bucky,The Great Dane Pub & Brewing Company,"123 E Doty St, Madison, WI 53703",43.07457994,-89.37941026
Leckrone's Stop at the Top,"Forward Management, Inc","826 North Star Dr, Madison, WI 53718",43.08605994,-89.2798751
Lucky Bucky,Summit Credit Union,"1709 Landmark Dr, Cottage Grove, WI 53527",43.10878124,-89.1972357
Major Bucky,Mid-West Family Broadcasting,"730 Rayovac Dr, Madison, WI 53711",43.04887713,-89.49120537
Music Man,Varsity Bar & Grill,"1205 W Main St, Sun Prairie, WI 53590",43.17986939,-89.23265294
One Leg Up,"Forward Management, Inc","641 W Main St, Sun Prairie, WI 53590",43.18199785,-89.22383846
Pieces of Wisconsin,The Madison Concourse Hotel and Governor’s Club,"1 W Dayton St, Madison, WI 53703",43.07646646,-89.38496948
Pucky,Hampton Inn & Suites Madison / Downtown,"440 W Johnson St, Madison, WI 53703",43.07284572,-89.38983503
Ringo,Lowell Center,"610 Langdon St, Madison, WI 53703",43.0762285,-89.39478282
Sconnie B. Goode,Kayser Ford Lincoln Showroom,"2303 W Beltline Hwy, Madison, WI 53713",43.03347926,-89.418786
Spark a Dream,The Spark,"821 E Washington Ave, Madison, WI 53703",43.08139781,-89.37360239
Sunburst,SpringHill Suites by Marriott Madison Lobby,"4601 Frey St, Madison, WI 53705",43.07387623,-89.4550366
Superbuck,Children's Dental Center of Madison,"5544 E Cheryl Pkwy, Fitchburg, WI 53711",43.0059596,-89.4252231
The Long Drive Dominator,Vitense Golfland,"5501 Schroeder Rd, Madison, WI 53711",43.04572835,-89.47412431
Vintage Gridiron,Zimbrick Honda,"1601 W Beltline Hwy, Fitchburg, WI 53713",43.03195105,-89.40936994
Visible Bucky,Best Western Plus InnTowner Madison,"2424 University Ave, Madison, WI 53726",43.07261734,-89.42707443
We All Fit Together,Sun Prairie City Hall,"300 E Main St, Sun Prairie, WI 53590",43.18328507,-89.2094957
Work Safe Bucky,Tri-North Builders,"2625 Research Park Dr, Fitchburg, WI 53711",42.99738536,-89.42653066